run_accession	fastq_ftp	fastq_bytes	fastq_md5	bam_ftp	bam_bytes	bam_md5	submitted_ftp	submitted_bytes	submitted_md5	sra_ftp	sra_bytes	sra_md5
ERR14205242	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/042/ERR14205242/ERR14205242_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/042/ERR14205242/ERR14205242_2.fastq.gz	108952768;113991116	168bc341f95b8b3ad6a2226b20ff8707;00803d3961d5fead1f31bf5d9c4898d0	ftp.sra.ebi.ac.uk/vol1/err/ERR142/042/ERR14205242/ERR14205242.bam	221507943	93b6e71f7381d4fcd42840434bbe3c5d	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205242/Vc_DAN20_y2023.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205242/Vc_DAN20_y2023.R2.fastq.gz	102426104;107745153	3c32252350ed3d4ddb5ff7deecdaceed;76fc1e25352e6d9c7edda666341aa29c			
ERR14205246	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/046/ERR14205246/ERR14205246_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/046/ERR14205246/ERR14205246_2.fastq.gz	99602254;105002605	3a7f574beb7bb8f7137bfc065355d612;990a93d376c21416987d51c4e48eeb06	ftp.sra.ebi.ac.uk/vol1/err/ERR142/046/ERR14205246/ERR14205246.bam	195840921	6bc77119323e8202bd24f053c27c5f97	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205246/Vc_DAN3_y2023.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205246/Vc_DAN3_y2023.R2.fastq.gz	116000489;122705605	ac5b8012ff212fa99aaaa46ef91f9dd2;c285fa172a8529cd4d4b64d4ba337ddb			
ERR14205251	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/051/ERR14205251/ERR14205251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/051/ERR14205251/ERR14205251_2.fastq.gz	130013469;133083383	6d209a6d322d788c79f3d4ef94c7e12d;7a8e8bbb6ac51a8356c77b9e21ccb651	ftp.sra.ebi.ac.uk/vol1/err/ERR142/051/ERR14205251/ERR14205251.bam	261443745	eb1ef9fc7f2b0da7f24a339896c7d70b	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205251/Vc_DAN22_y2023.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205251/Vc_DAN22_y2023.R2.fastq.gz	122234890;125552203	f5d7617c55a16f1b99924c593751d5d3;a0fc50b7114a43346ad98cc657607cc4			
ERR14205253	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/053/ERR14205253/ERR14205253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/053/ERR14205253/ERR14205253_2.fastq.gz	88141229;93777820	c93c9c502db48e3d1207f1cc1e73ed40;6cf19300665abf32645f40724c568950	ftp.sra.ebi.ac.uk/vol1/err/ERR142/053/ERR14205253/ERR14205253.bam	180022829	2fed8c2fc83aa010cd28d8d43105f3b5	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205253/Vc_DAN14_y2023.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205253/Vc_DAN14_y2023.R2.fastq.gz	92783394;98506356	9665045c0dc3886b72ea11298302731a;fcf120acae0ae4f043db2cef6c9b74f8			
ERR14205258	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/058/ERR14205258/ERR14205258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/058/ERR14205258/ERR14205258_2.fastq.gz	66317589;69620552	f18f58f3613774402816abfde9c9767c;225edf20941c855f2f7d2e1436c20928	ftp.sra.ebi.ac.uk/vol1/err/ERR142/058/ERR14205258/ERR14205258.bam	129772767	b7b0b59a89e82c14a10807dd36907bc1	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205258/Vc_DAN1_y2024.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205258/Vc_DAN1_y2024.R2.fastq.gz	77138776;81163513	0e59e6fa2cd0fd8a6a23302b5528e0d9;f4b74955da177d5ab858197acaba8ea1			
ERR14205259	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/059/ERR14205259/ERR14205259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/059/ERR14205259/ERR14205259_2.fastq.gz	111747208;117640718	df6d29ba2c0405a40b903abd4fd5bad4;a3dfa638041555ecb37b4de77f2ec305	ftp.sra.ebi.ac.uk/vol1/err/ERR142/059/ERR14205259/ERR14205259.bam	220386028	aaea0132d8654e32ac0049af912d3cf4	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205259/Vc_DAN5_y2023.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205259/Vc_DAN5_y2023.R2.fastq.gz	130420843;137712958	d1bb6a76264359056dde52a2468516da;70a5e9c9a16ab7170c8c412b8f84f8c9			
ERR14205260	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/060/ERR14205260/ERR14205260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/060/ERR14205260/ERR14205260_2.fastq.gz	102295790;105945464	442169067f4de63e6681e811a306b322;9bc17c697c12dc5f8d3fa550b72295c0	ftp.sra.ebi.ac.uk/vol1/err/ERR142/060/ERR14205260/ERR14205260.bam	206862763	613e8640da49abdf58c9970370dd40cf	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205260/Vc_DAN17_y2023.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205260/Vc_DAN17_y2023.R2.fastq.gz	96179019;100076845	ecb3d35ad41bbb7bfaa8a36203460d5f;447b5f2d478799608af332a05c2b1dce			
ERR14205264	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/064/ERR14205264/ERR14205264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/064/ERR14205264/ERR14205264_2.fastq.gz	137195302;142951496	b945329e90c9501dc2f87f8c339a2097;fbb388e1598a2c51d87e1c3b5725c425	ftp.sra.ebi.ac.uk/vol1/err/ERR142/064/ERR14205264/ERR14205264.bam	278443994	53ca1530eccff54aa174e369281806b9	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205264/Vc_DAN16_y2023.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205264/Vc_DAN16_y2023.R2.fastq.gz	128847328;134900717	9ef0657737476d25ae7a00804d3fbf38;97c76ea3bd3dd6f3d78d0fe9327634af			
ERR14205265	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/065/ERR14205265/ERR14205265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/065/ERR14205265/ERR14205265_2.fastq.gz	54789405;62008712	9706a3da0585a1d90ced656c6bc3b22d;2ae1f4173aef3c09e0348f38c928d22c	ftp.sra.ebi.ac.uk/vol1/err/ERR142/065/ERR14205265/ERR14205265.bam	115383255	aba5680ad64a910b63048e1fc4850a3a	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205265/Vc_DAN10_y2023.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205265/Vc_DAN10_y2023.R2.fastq.gz	57678528;64754724	d16bfda61154e60e10df689a5c5941cb;b7a90c6e761edcf42e2db98775f95160			
ERR14205267	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/067/ERR14205267/ERR14205267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/067/ERR14205267/ERR14205267_2.fastq.gz	111117213;115152087	3f7c86da7025757b85693d54d13bc5d2;f24e74ce515f3ead92919394bd4af796	ftp.sra.ebi.ac.uk/vol1/err/ERR142/067/ERR14205267/ERR14205267.bam	224666551	2c9f4c2fcbd933c4233617359cc06605	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205267/Vc_DAN25_y2023.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205267/Vc_DAN25_y2023.R2.fastq.gz	104440624;108725913	6285ab548daf576d39fe2d090c477457;c3ec5c8a2733fc3441d0b9cd08e795de			
